2025-01-29 20:22:26,476 - INFO - Use pytorch device_name: cpu
2025-01-29 20:22:26,477 - INFO - Load pretrained SentenceTransformer: multi-qa-mpnet-base-dot-v1
2025-01-29 20:24:13,002 - INFO - Loading text file...
2025-01-29 20:24:13,003 - INFO - Chunking text...
2025-01-29 20:24:13,006 - INFO - Computing embeddings...
2025-01-29 20:24:13,007 - INFO - Starting embedding computation for 69 chunks
2025-01-29 20:37:32,024 - INFO - Processed chunk 9/69 (Time: 0.57s, Estimated remaining: 32.97s)
2025-01-29 20:37:32,596 - INFO - Processed chunk 10/69 (Time: 0.57s, Estimated remaining: 32.56s)
2025-01-29 20:37:33,264 - INFO - Processed chunk 11/69 (Time: 0.67s, Estimated remaining: 32.62s)
2025-01-29 20:37:33,891 - INFO - Processed chunk 12/69 (Time: 0.63s, Estimated remaining: 32.36s)
2025-01-29 20:37:34,465 - INFO - Processed chunk 13/69 (Time: 0.57s, Estimated remaining: 31.82s)
2025-01-29 20:37:34,881 - INFO - Processed chunk 14/69 (Time: 0.42s, Estimated remaining: 30.66s)
2025-01-29 20:37:35,309 - INFO - Processed chunk 15/69 (Time: 0.43s, Estimated remaining: 29.63s)
2025-01-29 20:37:35,981 - INFO - Processed chunk 16/69 (Time: 0.67s, Estimated remaining: 29.49s)
2025-01-29 20:37:36,453 - INFO - Processed chunk 17/69 (Time: 0.47s, Estimated remaining: 28.68s)
2025-01-29 20:37:36,909 - INFO - Processed chunk 18/69 (Time: 0.46s, Estimated remaining: 27.85s)
2025-01-29 20:37:37,371 - INFO - Processed chunk 19/69 (Time: 0.46s, Estimated remaining: 27.09s)
2025-01-29 20:37:37,770 - INFO - Processed chunk 20/69 (Time: 0.40s, Estimated remaining: 26.20s)
2025-01-29 20:37:38,237 - INFO - Processed chunk 21/69 (Time: 0.47s, Estimated remaining: 25.51s)
2025-01-29 20:37:38,734 - INFO - Processed chunk 22/69 (Time: 0.50s, Estimated remaining: 24.90s)
2025-01-29 20:37:39,440 - INFO - Processed chunk 23/69 (Time: 0.71s, Estimated remaining: 24.72s)
2025-01-29 20:37:40,007 - INFO - Processed chunk 24/69 (Time: 0.57s, Estimated remaining: 24.24s)
2025-01-29 20:37:40,444 - INFO - Processed chunk 25/69 (Time: 0.44s, Estimated remaining: 23.52s)
2025-01-29 20:37:41,014 - INFO - Processed chunk 26/69 (Time: 0.57s, Estimated remaining: 23.05s)
2025-01-29 20:37:41,479 - INFO - Processed chunk 27/69 (Time: 0.46s, Estimated remaining: 22.40s)
2025-01-29 20:37:41,913 - INFO - Processed chunk 28/69 (Time: 0.43s, Estimated remaining: 21.72s)
2025-01-29 20:37:42,444 - INFO - Processed chunk 29/69 (Time: 0.53s, Estimated remaining: 21.20s)
2025-01-29 20:37:42,992 - INFO - Processed chunk 30/69 (Time: 0.55s, Estimated remaining: 20.69s)
2025-01-29 20:37:43,539 - INFO - Processed chunk 31/69 (Time: 0.55s, Estimated remaining: 20.18s)
2025-01-29 20:37:43,954 - INFO - Processed chunk 32/69 (Time: 0.41s, Estimated remaining: 19.51s)
2025-01-29 20:37:44,408 - INFO - Processed chunk 33/69 (Time: 0.45s, Estimated remaining: 18.91s)
2025-01-29 20:37:44,927 - INFO - Processed chunk 34/69 (Time: 0.52s, Estimated remaining: 18.37s)
2025-01-29 20:37:45,408 - INFO - Processed chunk 35/69 (Time: 0.48s, Estimated remaining: 17.81s)
2025-01-29 20:37:46,010 - INFO - Processed chunk 36/69 (Time: 0.60s, Estimated remaining: 17.35s)
2025-01-29 20:37:46,621 - INFO - Processed chunk 37/69 (Time: 0.61s, Estimated remaining: 16.90s)
2025-01-29 20:37:47,117 - INFO - Processed chunk 38/69 (Time: 0.50s, Estimated remaining: 16.35s)
2025-01-29 20:37:47,669 - INFO - Processed chunk 39/69 (Time: 0.55s, Estimated remaining: 15.84s)
2025-01-29 20:37:48,126 - INFO - Processed chunk 40/69 (Time: 0.46s, Estimated remaining: 15.26s)
2025-01-29 20:37:48,590 - INFO - Processed chunk 41/69 (Time: 0.46s, Estimated remaining: 14.69s)
2025-01-29 20:37:49,148 - INFO - Processed chunk 42/69 (Time: 0.56s, Estimated remaining: 14.19s)
2025-01-29 20:37:49,628 - INFO - Processed chunk 43/69 (Time: 0.48s, Estimated remaining: 13.64s)
2025-01-29 20:37:50,145 - INFO - Processed chunk 44/69 (Time: 0.52s, Estimated remaining: 13.11s)
2025-01-29 20:37:50,765 - INFO - Processed chunk 45/69 (Time: 0.62s, Estimated remaining: 12.63s)
2025-01-29 20:37:51,406 - INFO - Processed chunk 46/69 (Time: 0.64s, Estimated remaining: 12.16s)
2025-01-29 20:37:51,894 - INFO - Processed chunk 47/69 (Time: 0.49s, Estimated remaining: 11.62s)
2025-01-29 20:37:52,504 - INFO - Processed chunk 48/69 (Time: 0.61s, Estimated remaining: 11.12s)
2025-01-29 20:37:52,981 - INFO - Processed chunk 49/69 (Time: 0.48s, Estimated remaining: 10.57s)
2025-01-29 20:37:53,528 - INFO - Processed chunk 50/69 (Time: 0.55s, Estimated remaining: 10.05s)
2025-01-29 20:37:54,102 - INFO - Processed chunk 51/69 (Time: 0.57s, Estimated remaining: 9.54s)
2025-01-29 20:37:54,732 - INFO - Processed chunk 52/69 (Time: 0.63s, Estimated remaining: 9.04s)
2025-01-29 20:37:55,262 - INFO - Processed chunk 53/69 (Time: 0.53s, Estimated remaining: 8.51s)
2025-01-29 20:37:55,713 - INFO - Processed chunk 54/69 (Time: 0.45s, Estimated remaining: 7.95s)
2025-01-29 20:37:56,250 - INFO - Processed chunk 55/69 (Time: 0.54s, Estimated remaining: 7.43s)
2025-01-29 20:37:56,910 - INFO - Processed chunk 56/69 (Time: 0.66s, Estimated remaining: 6.93s)
2025-01-29 20:37:57,464 - INFO - Processed chunk 57/69 (Time: 0.55s, Estimated remaining: 6.40s)
2025-01-29 20:37:58,146 - INFO - Processed chunk 58/69 (Time: 0.68s, Estimated remaining: 5.89s)
2025-01-29 20:37:58,851 - INFO - Processed chunk 59/69 (Time: 0.70s, Estimated remaining: 5.39s)
2025-01-29 20:37:59,400 - INFO - Processed chunk 60/69 (Time: 0.55s, Estimated remaining: 4.85s)
2025-01-29 20:38:00,141 - INFO - Processed chunk 61/69 (Time: 0.74s, Estimated remaining: 4.34s)
2025-01-29 20:38:00,792 - INFO - Processed chunk 62/69 (Time: 0.65s, Estimated remaining: 3.81s)
2025-01-29 20:38:01,408 - INFO - Processed chunk 63/69 (Time: 0.62s, Estimated remaining: 3.27s)
2025-01-29 20:38:02,086 - INFO - Processed chunk 64/69 (Time: 0.68s, Estimated remaining: 2.73s)
2025-01-29 20:38:02,743 - INFO - Processed chunk 65/69 (Time: 0.66s, Estimated remaining: 2.19s)
2025-01-29 20:38:03,454 - INFO - Processed chunk 66/69 (Time: 0.71s, Estimated remaining: 1.65s)
2025-01-29 20:38:04,077 - INFO - Processed chunk 67/69 (Time: 0.62s, Estimated remaining: 1.10s)
2025-01-29 20:38:04,866 - INFO - Processed chunk 68/69 (Time: 0.79s, Estimated remaining: 0.56s)
2025-01-29 20:38:05,214 - INFO - Processed chunk 69/69 (Time: 0.35s, Estimated remaining: 0.00s)
2025-01-29 20:38:05,215 - INFO - Embedding computation completed in 38.14 seconds
2025-01-29 20:38:05,215 - INFO - Initialization complete
2025-01-29 21:23:40,338 - INFO - Use pytorch device_name: cpu
2025-01-29 21:23:40,338 - INFO - Load pretrained SentenceTransformer: multi-qa-mpnet-base-dot-v1
2025-01-29 21:23:44,818 - INFO - Loading text file...
